name,plum,lavender,ink,inkSoft,rose,mint,gold,sky,outline
Holographic,#AE9ECD,#BDC0E1,#1F1230,#3C235D,#EEC5E9,#CBE8D5,#F3D8BF,#E7E0E4,#1C102B
Dreamscape,#C098AD,#DBB0B5,#1F1230,#3C235D,#E4C9BC,#CCD4CD,#E8D6B7,#E0E1C8,#1C102B
Game Kid,#97A7B4,#E6F6C5,#1F1230,#3C235D,#FFA5C5,#AAE8C7,#F8EB9A,#C0DDD5,#1C102B
Pastel Portal,#AF9CC8,#F3E9FF,#1F1230,#3C235D,#FFB5C7,#BEEEDC,#F9F3B3,#C8E8FF,#1C102B
Ice Cream GB,#C995AA,#DCB5BD,#1F1230,#3C235D,#F8BCAE,#FAC6AB,#FCCDA9,#FDDAB3,#1C102B
AYY4,#00B5DE,#C0AFB5,#1F1230,#3C235D,#FFA387,#FFC392,#FCD7A7,#F6E5C1,#1C102B
2bit Demichrome,#ABA2A8,#BEBBC5,#1F1230,#3C235D,#CACACA,#CECEC6,#CED0C5,#D1D4CB,#1C102B
Hollow,#A1A1CB,#C7C8D8,#1F1230,#3C235D,#D9D7DD,#DDD7DB,#DED6D9,#E7E2E1,#1C102B
Lospec GB,#A3A3A3,#C0ACCD,#1F1230,#3C235D,#C9BFCE,#CAC2CC,#C9C3CA,#CDCACE,#1C102B
Colorboy,#A8A3B8,#CFBFCB,#1F1230,#3C235D,#E4CFBF,#F0DCB2,#F4E3AF,#F1EBBB,#1C102B
BLK AQU4,#54A7FF,#87CDFF,#1F1230,#3C235D,#9BF0FF,#9BFAFF,#ACEEEE,#B5EFEC,#1C102B
Blood Crow,#FF7A7A,#FAB2B2,#1F1230,#3C235D,#F6CACA,#F6CBCB,#EED2D2,#F0DADA,#1C102B
Italy-4,#A19ED6,#E5C2C6,#1F1230,#3C235D,#E9DCD3,#DCE4D8,#D9E3D8,#E2E8DD,#1C102B
Mokky,#B7A08C,#CFBAA7,#1F1230,#3C235D,#DCC4AE,#DEC4AD,#DCC5AF,#DFCCB5,#1C102B
Dream Haze 8,#9EA1E2,#D0C6ED,#1F1230,#3C235D,#F0D7E6,#F0D7D7,#F4DFD4,#F9ECD9,#1C102B
Gothic Bit,#A4A4B8,#BFBFD0,#1F1230,#3C235D,#CACAD9,#CACAD9,#CBCBD9,#E6E6EC,#1C102B
PurpleMorning8,#A7A0CE,#C5C2DF,#1F1230,#3C235D,#E3D3D9,#EBCECB,#EAD9CC,#E8EBD5,#1C102B
SweetHope,#A3A1BC,#B8BFD8,#1F1230,#3C235D,#E5C0DD,#C3E1CB,#EECDB6,#E0E0DC,#1C102B
DawnBringer's 8 color,#A3A3A3,#C1B0C9,#1F1230,#3C235D,#EAB4A4,#B1DCB1,#EEDB9F,#DCF5FF,#1C102B
Argeebey 8,#A3A3A3,#989DE1,#1F1230,#3C235D,#A6E7B0,#ABE2E2,#F2E59C,#FFFFFF,#1C102B
