cue,pattern,error,unknown_feelings,unknown_needs,faux_hit
"time-off-request-denied_next","\b(?:i|we)\s+asked\s+(?:for\s+(?:(?:time off|pto|vacation|leave))|to\s+take\s+(?:(?:time off|pto|vacation|leave)))\b[^.!?]*\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:said|says)\s+no(?:\s+to)?\b","","","","rejected"
"time-off-request-denied_next","\b(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor))\s+(?:did\s+not|didn[’']?t)\s+(?:approve|allow)\b[^.!?]*\b(?:(?:time off|pto|vacation|leave))\b","","","","rejected"
"time-off-request-denied_next","\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:denied|rejected|declined|refused)\b[^.!?]*\b(?:(?:time off|pto|vacation|leave))\b","","","","rejected"
"time-off-request-denied_next","\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:told|tells)\s+me\s+no\b[^.!?]*\b(?:(?:time off|pto|vacation|leave))\b|\b(?:(?:time off|pto|vacation|leave))\b[^.!?]*\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:told|tells)\s+me\s+no\b","","","","rejected"
"time-off-request-denied_next","\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:denied|rejected|declined|refused)\s+(?:my\s+)?(?:(?:time off|pto|vacation|leave))\s+request\b","","","","rejected"
"time-off-request-denied_next","\bmy\s+(?:(?:time off|pto|vacation|leave))\s+request\s+was\s+(?:not\s+approved|denied|rejected)\b","","","","rejected"
"time-off-request-denied_next","\bmy\s+(?:(?:time off|pto|vacation|leave))\s+request\s+wasn[’']?t\s+approved\b","","","","rejected"
"schedule-change-request-denied_next","\b(?:i|we)\s+asked\s+to\s+change\s+my\s+schedule\b[^.!?]*\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:said|says)\s+no(?:\s+to)?\b","","","","rejected"
"schedule-change-request-denied_next","\b(?:i|we)\s+asked\s+for\s+a\s+schedule\s+change\b[^.!?]*\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:said|says)\s+no(?:\s+to)?\b","","","","rejected"
"schedule-change-request-denied_next","\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:said|says)\s+no\b[^.!?]*\b(?:when\s+)?(?:i|we)\s+asked\s+(?:to\s+change\s+my\s+schedule|for\s+a\s+schedule\s+change)\b","","","","rejected"
"schedule-change-request-denied_next","\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:denied|rejected|declined|refused)\s+(?:my\s+)?schedule\s+change\s+request\b","","","","rejected"
"schedule-change-request-denied_next","\b(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor))\s+(?:did\s+not|didn[’']?t)\s+approve\s+(?:my\s+schedule\s+change\s+request|a\s+schedule\s+change)\b","","","","rejected"
"schedule-change-request-denied_next","\bmy\s+schedule\s+change\s+request\s+was\s+(?:not\s+approved|denied|rejected)\b","","","","rejected"
"schedule-change-request-denied_next","\bmy\s+schedule\s+change\s+request\s+wasn[’']?t\s+approved\b","","","","rejected"
"meeting-request-denied_next","\b(?:i|we)\s+asked\s+for\s+(?:a\s+)?(?:(?:meeting|one on one|1 on 1|1:1))\b[^.!?]*\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor|partner|teacher|professor|landlord)))\s+(?:said|says)\s+no(?:\s+to)?\b","","","","rejected"
"meeting-request-denied_next","\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor|partner|teacher|professor|landlord)))\s+(?:did\s+not|didn[’']?t)\s+approve\s+my\s+(?:(?:meeting|one on one|1 on 1|1:1))\s+request\b","","","","rejected"
"meeting-request-denied_next","\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor|partner|teacher|professor|landlord)))\s+(?:denied|rejected|declined|refused)\s+(?:my\s+)?(?:(?:meeting|one on one|1 on 1|1:1))\s+request\b","","","","rejected"
"meeting-request-denied_next","\bmy\s+(?:(?:meeting|one on one|1 on 1|1:1))\s+request\s+was\s+(?:not\s+approved|denied|rejected)\b","","","","rejected"
"meeting-request-denied_next","\bmy\s+(?:(?:meeting|one on one|1 on 1|1:1))\s+request\s+wasn[’']?t\s+approved\b","","","","rejected"
